BUKRS;KTOPL;SAKNR;BILKT;FISC_YEAR;FIS_PERIOD;DEBITS_PER;CREDIT_PER;PER_SALES;BALANCE;CURRENCY
MUSE;MUSE;0000111472;0000110100;2017;08; 0; 0; 0; -49153;CLP
MUSE;MUSE;0000111480;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000111490;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000111500;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000111510;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000111570;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000111770;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000111820;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000112101;0000110300;2017;08; 0; 0; 0; 26361734511;CLP
MUSE;MUSE;0000112102;0000110100;2017;08; 0; 0; 0; 12124241995;CLP
MUSE;MUSE;0000112104;0000110100;2017;08; 0; 0; 0; 25876268;CLP
MUSE;MUSE;0000112109;0000110300;2017;08; 0; 0; 0; 8782177241;CLP
MUSE;MUSE;0000112110;0000110100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000112200;0000110200;2017;08; 0; 0; 0; 34678987560;CLP
MUSE;MUSE;0000112210;0000120100;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000112300;0000110300;2017;08; 0; 0; 0; 6653897103;CLP
MUSE;MUSE;0000112400;0000110500;2017;08; 0; 0; 0; -9899412;CLP
MUSE;MUSE;0000112401;0000110500;2017;08; 0; 0; 0; 3820508397;CLP
MUSE;MUSE;0000112403;0000110500;2017;08; 0; 0; 0; 3518034;CLP
MUSE;MUSE;0000112405;0000110500;2017;08; 0; 0; 0; 73821587;CLP
MUSE;MUSE;0000112408;0000110500;2017;08; 0; 0; 0; 257094059;CLP
MUSE;MUSE;0000112409;0000120300;2017;08; 0; 0; 0; 9051532322;CLP
MUSE;MUSE;0000112411;0000120300;2017;08; 0; 0; 0; 294607679;CLP
MUSE;MUSE;0000112412;0000120300;2017;08; 0; 0; 0; 492236145;CLP
MUSE;MUSE;0000112415;0000110500;2017;08; 0; 0; 0; 13499913;CLP
MUSE;MUSE;0000112416;0000110500;2017;08; 0; 0; 0; 3722192594;CLP
MUSE;MUSE;0000112417;0000110500;2017;08; 0; 0; 0; 1327137489;CLP
MUSE;MUSE;0000112418;0000110500;2017;08; 0; 0; 0; 21061263721;CLP
MUSE;MUSE;0000112420;0000110500;2017;08; 0; 0; 0; -4062094418;CLP
MUSE;MUSE;0000112421;0000110500;2017;08; 0; 0; 0; -815612832;CLP
MUSE;MUSE;0000112430;0000110500;2017;08; 0; 0; 0; -2101492000;CLP
MUSE;MUSE;0000112436;0000110500;2017;08; 0; 0; 0; 913303809;CLP
MUSE;MUSE;0000112437;0000110500;2017;08; 0; 0; 0; 939398629;CLP
MUSE;MUSE;0000112438;0000110500;2017;08; 0; 0; 0; 4039817;CLP
MUSE;MUSE;0000112440;0000110500;2017;08; 100000; 0; 100000; 100000;CLP
MUSE;MUSE;0000112500;0000110600;2017;08; 0; 0; 0; 671602518;CLP
MUSE;MUSE;0000112501;0000110600;2017;08; 0; 0; 0; 1179511919;CLP
MUSE;MUSE;0000112502;0000110600;2017;08; 0; 0; 0; -50659735;CLP
MUSE;MUSE;0000112504;0000110600;2017;08; 0; 0; 0; 51739357;CLP
MUSE;MUSE;0000112505;0000110600;2017;08; 0; 0; 0; 478524767;CLP
MUSE;MUSE;0000112601;0000110700;2017;08; 0; 0; 0; -3073465;CLP
MUSE;MUSE;0000112605;0000110700;2017;08; 0; 0; 0; 2106174902;CLP
MUSE;MUSE;0000112610;0000110700;2017;08; 0; 0; 0; 1319125727;CLP
MUSE;MUSE;0000112611;0000110700;2017;08; 0; 0; 0; 1633765156;CLP
MUSE;MUSE;0000112620;0000110700;2017;08; 26325716; -38982311; -12656595; 6495800641;CLP
MUSE;MUSE;0000112621;0000110700;2017;08; 0; 0; 0; 4200159;CLP
MUSE;MUSE;0000112622;0000110700;2017;08; 0; 0; 0; 491999913;CLP
MUSE;MUSE;0000112623;0000110700;2017;08; 0; 0; 0; 5677047445;CLP
MUSE;MUSE;0000112624;0000110700;2017;08; 0; 0; 0; 1885014917;CLP
MUSE;MUSE;0000112640;0000110700;2017;08; 100000; 0; 100000; 18198084;CLP
MUSE;MUSE;0000112642;0000110700;2017;08; 0; 0; 0; 2271896142;CLP
MUSE;MUSE;0000112643;0000110700;2017;08; 0; 0; 0; 130606392;CLP
MUSE;MUSE;0000112645;0000110700;2017;08; 0; 0; 0; 86225951;CLP
MUSE;MUSE;0000112650;0000110700;2017;08; 0; 0; 0; 291097088;CLP
MUSE;MUSE;0000112651;0000110700;2017;08; 0; 0; 0; 78854;CLP
MUSE;MUSE;0000112660;0000110700;2017;08; 0; 0; 0; 330271269;CLP
MUSE;MUSE;0000112661;0000110700;2017;08; 100000; 0; 100000; 100000;CLP
MUSE;MUSE;0000112690;0000110700;2017;08; 0; 0; 0; -8067410768;CLP
MUSE;MUSE;0000112695;0000110700;2017;08; 0; 0; 0; -3768410000;CLP
MUSE;MUSE;0000112700;0000110900;2017;08; 0; 0; 0; 8845032;CLP
MUSE;MUSE;0000112701;0000110900;2017;08; 0; 0; 0; 54906436;CLP
MUSE;MUSE;0000112702;0000110900;2017;08; 0; 0; 0; 63822576;CLP
MUSE;MUSE;0000112703;0000110900;2017;08; 0; 0; 0; 284473711;CLP
MUSE;MUSE;0000112704;0000110900;2017;08; 0; 0; 0; 2727964645;CLP
MUSE;MUSE;0000112707;0000110900;2017;08; 0; 0; 0; 248596974;CLP
MUSE;MUSE;0000112708;0000110900;2017;08; 0; 0; 0; 1130988;CLP
MUSE;MUSE;0000112710;0000110900;2017;08; 0; 0; 0; 164423705;CLP
MUSE;MUSE;0000112712;0000110600;2017;08; 0; 0; 0; 25924002;CLP
MUSE;MUSE;0000112714;0000110900;2017;08; 0; 0; 0; 7260520;CLP
MUSE;MUSE;0000112715;0000110900;2017;08; 0; 0; 0; 63029346;CLP
MUSE;MUSE;0000112716;0000110900;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000112720;0000110900;2017;08; 0; 0; 0; 13364948;CLP
MUSE;MUSE;0000112752;0000110900;2017;08; 0; 0; 0; -11751007;CLP
MUSE;MUSE;0000112800;0000110800;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000112801;0000110800;2017;08; 0; 0; 0; 450348273;CLP
MUSE;MUSE;0000112813;0000110800;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000112815;0000110800;2017;08; 0; 0; 0; 3470661;CLP
MUSE;MUSE;0000112821;0000110800;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000112900;0000111000;2017;08; 113193; 0; 113193; 1130430496;CLP
MUSE;MUSE;0000112901;0000111000;2017;08; 0; 0; 0; 820057484;CLP
MUSE;MUSE;0000112902;0000111000;2017;08; 0; 0; 0; 6616727;CLP
MUSE;MUSE;0000112903;0000111000;2017;08; 0; 0; 0; 3042;CLP
MUSE;MUSE;0000112904;0000111000;2017;08; 0; 0; 0; 618014;CLP
MUSE;MUSE;0000112906;0000111000;2017;08; 0; 0; 0; 42195115;CLP
MUSE;MUSE;0000112907;0000111000;2017;08; 0; 0; 0; 141692996;CLP
MUSE;MUSE;0000112910;0000111000;2017;08; 0; 0; 0; 875115;CLP
MUSE;MUSE;0000113100;0000111300;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000113101;0000111300;2017;08; 0; 0; 0; 792625575;CLP
MUSE;MUSE;0000113102;0000111300;2017;08; 0; 0; 0; 1321800000;CLP
MUSE;MUSE;0000113104;0000111400;2017;08; 0; 0; 0; 117280096;CLP
MUSE;MUSE;0000113105;0000999991;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000113107;0000999991;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000113109;0000999991;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000113110;0000111300;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000113115;0000999991;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000113118;0000999991;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000113119;0000999991;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000113123;0000999991;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000113127;0000999991;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000113130;0000999991;2017;08; 0; 0; 0; 0;CLP
MUSE;MUSE;0000113140;0000111300;2017;08; 0; 0; 0; 10623232;CLP
